# p = 1 atm, T = 465 K, U₀ = 30 m/s, reacting Φ=0.55, no cone
# SI units (mm, m/s)
# Axial scan
# X  Y  Z  uc  vc  wc  uz  ur1  ur2  uz'  ur1'  ur2'
17.50   0.00    0.00    1486    51  114 3.94    0.96    -2.22   6.73    3.78    4.22
15.00   0.00    0.00    2028    60  68  4.35    0.91    -1.50   6.42    2.56    3.15


# 15 mm Y traverse
# X  Y  Z  uc  vc  wc  uz  uθ  ur  uz'  uθ'  ur'
15.00   -50.00  0.00    786 0   1224    1.04    -7.65   ?   5.63    5.60    ?
15.00   -47.50  0.00    200 0   537 -0.90   -4.59   ?   5.83    8.11    ?
15.00   -45.00  0.00    507 0   133 -1.36   -7.10   ?   5.76    5.18    ?
15.00   -42.50  0.00    332 0   739 -1.01   -6.57   ?   5.61    6.80    ?
15.00   -40.00  0.00    450 0   1808    -2.43   -7.56   ?   5.60    5.78    ?
15.00   -37.50  0.00    192 0   1703    -1.61   -7.60   ?   4.60    5.43    ?
15.00   -35.00  0.00    158 0   1568    -0.93   -6.53   ?   4.25    6.19    ?
15.00   -32.50  0.00    453 0   1954    -1.08   -9.21   ?   4.60    5.62    ?
15.00   -30.00  0.00    375 0   1585    -0.91   -9.33   ?   5.00    6.50    ?
15.00   -27.50  0.00    397 0   1886    0.08    -10.82  ?   5.38    6.42    ?
15.00   -25.00  0.00    982 49  4078    6.00    -12.46  -2.61   9.97    6.85    8.19
15.00   -22.50  0.00    2047    190 4092    44.53   -16.06  4.28    10.69   7.60    10.41
15.00   -20.00  0.00    3522    1583    4895    50.61   -21.63  11.71   9.14    5.79    8.13
15.00   -17.50  0.00    3021    2620    1606    37.84   -15.38  14.05   12.44   8.03    5.95
15.00   -15.00  0.00    5534    2852    1614    25.71   -5.76   10.54   11.13   7.04    5.28
15.00   -12.50  0.00    2433    3160    2733    12.06   -1.90   5.97    9.61    5.68    5.37
15.00   -10.00  0.00    1854    3095    1378    2.98    0.48    3.10    6.53    4.63    4.33
15.00   -7.50   0.00    1101    1855    2464    2.23    1.62    1.63    5.24    4.18    3.83
15.00   -5.00   0.00    615 992 874 3.35    1.63    0.70    4.33    3.79    2.94
15.00   -2.50   0.00    1085    1764    780 6.01    1.13    -0.14   4.79    3.86    2.97
15.00   0.00    0.00    671 322 775 9.67    1.26    0.93    5.31    4.14    4.37
15.00   2.50    0.00    432 880 1616    13.87   -1.14   1.72    4.86    3.98    2.79
15.00   5.00    0.00    703 1514    1022    17.02   -1.22   2.71    4.19    3.85    2.69
15.00   7.50    0.00    463 1079    1088    19.49   -1.80   3.64    3.68    4.63    2.61
15.00   10.00   0.00    250 605 1692    22.22   -2.38   4.34    4.61    4.18    2.86
15.00   12.50   0.00    227 1165    654 26.72   -7.11   5.58    6.48    5.17    3.86
15.00   15.00   0.00    191 581 347 42.08   -12.31  6.95    9.74    7.58    4.18
15.00   17.50   0.00    42  80  4878    52.99   -0.14   8.63    6.61    1.07    4.19
15.00   20.00   0.00    640 2154    570 34.48   -11.05  9.23    11.89   9.50    6.66
15.00   22.50   0.00    137 392 206 3.55    -10.57  3.49    7.67    6.75    9.34
15.00   25.00   0.00    175 1   576 -0.02   -9.12   ?   4.24    5.45    ?
15.00   27.50   0.00    134 0   572 -0.44   -8.71   ?   4.06    4.99    ?
15.00   30.00   0.00    135 0   568 -0.92   -8.61   ?   4.13    4.76    ?
15.00   32.50   0.00    225 0   813 -0.89   -8.45   ?   4.59    4.66    ?
15.00   35.00   0.00    145 0   774 -0.77   -5.45   ?   4.39    4.94    ?
15.00   37.50   0.00    106 0   618 -0.43   -7.01   ?   4.51    4.75    ?
15.00   40.00   0.00    212 0   2110    0.35    -6.68   ?   5.09    4.52    ?
15.00   42.50   0.00    77  0   674 0.09    -5.56   ?   5.89    4.78    ?
15.00   45.00   0.00    45  0   1654    0.91    -3.14   ?   5.25    4.45    ?
15.00   47.50   0.00    22  0   4978    1.21    -0.33   ?   6.40    1.64    ?
15.00   50.00   0.00    0   0   5000    ?   -0.12   ?   ?   0.64    ?


# 15 mm Z traverse
# X  Y  Z  uc  vc  wc  uz  uθ  ur  uz'  uθ'  ur'
15.00   0.00    -50.00  0   434 0   ?   -3.28   ?   ?   5.18    ?
15.00   0.00    -47.50  0   207 0   ?   -7.02   ?   ?   4.77    ?
15.00   0.00    -45.00  0   91  0   ?   -8.70   ?   ?   5.35    ?
15.00   0.00    -42.50  0   232 0   ?   -2.39   ?   ?   3.86    ?
15.00   0.00    -40.00  0   155 0   ?   -8.16   ?   ?   4.97    ?
15.00   0.00    -37.50  0   138 0   ?   -9.08   ?   ?   3.81    ?
15.00   0.00    -35.00  0   142 0   ?   -9.08   ?   ?   4.26    ?
15.00   0.00    -32.50  0   157 0   ?   -8.91   ?   ?   5.04    ?
15.00   0.00    -30.00  0   351 0   ?   -10.23  ?   ?   4.12    ?
15.00   0.00    -27.50  155 470 0   0.79    -10.77  ?   3.95    4.15    ?
15.00   0.00    -25.00  130 132 0   0.05    -9.58   ?   4.19    4.88    ?
15.00   0.00    -22.50  205 170 0   6.41    -8.34   ?   7.46    6.57    ?
15.00   0.00    -20.00  647 252 1289    33.01   -5.10   9.34    8.97    7.23    7.02
15.00   0.00    -17.50  314 88  1464    46.94   -9.92   9.79    5.71    7.16    5.14
15.00   0.00    -15.00  673 142 2237    37.71   -10.90  9.11    9.24    6.61    4.14
15.00   0.00    -12.50  537 200 2245    22.54   -6.54   5.21    9.13    5.59    4.97
15.00   0.00    -10.00  156 134 412 9.78    -5.95   2.79    9.67    5.65    4.34
15.00   0.00    -7.50   169 95  512 4.11    -0.45   2.79    7.13    5.90    4.21
15.00   0.00    -5.00   366 199 1115    6.16    -0.06   2.12    6.10    5.48    3.73
15.00   0.00    -2.50   402 110 850 7.68    -3.50   1.70    6.51    7.01    4.24
15.00   0.00    0.00    470 110 1057    10.34   -2.59   0.29    5.28    5.34    4.03
15.00   0.00    2.50    591 282 1846    10.76   1.24    1.41    5.36    4.77    3.38
15.00   0.00    5.00    617 347 1922    11.30   -0.83   2.67    5.41    3.18    3.22
15.00   0.00    7.50    147 198 605 10.62   -1.26   3.66    5.95    3.05    3.15
15.00   0.00    10.00   186 161 646 11.67   1.30    4.59    5.36    5.82    3.72
15.00   0.00    12.50   255 173 1148    14.70   -2.47   5.30    7.63    4.69    4.75
15.00   0.00    15.00   650 753 3597    23.13   -4.62   6.99    9.03    6.49    5.54
15.00   0.00    17.50   373 336 1566    36.80   -12.19  10.55   11.66   7.20    5.35
15.00   0.00    20.00   477 431 2442    50.38   -22.31  12.45   8.30    5.59    7.31
15.00   0.00    22.50   135 291 569 31.27   -19.12  9.89    11.86   6.17    9.88
15.00   0.00    25.00   240 954 1451    5.63    -12.75  -1.82   9.26    7.05    9.57
15.00   0.00    27.50   26  427 1011    0.79    -10.77  -6.24   5.14    5.73    6.52
15.00   0.00    30.00   6   120 20  ?   -10.65  -6.17   ?   5.35    5.66
15.00   0.00    32.50   43  492 0   1.04    -9.52   ?   4.65    5.45    ?
15.00   0.00    35.00   23  566 0   -0.96   -8.68   ?   4.96    5.77    ?
15.00   0.00    37.50   0   697 0   ?   -8.44   ?   ?   5.51    ?
15.00   0.00    40.00   0   186 0   ?   -8.53   ?   ?   5.30    ?
15.00   0.00    42.50   0   202 0   ?   -7.58   ?   ?   5.61    ?
15.00   0.00    45.00   0   165 0   ?   -7.99   ?   ?   5.33    ?
15.00   0.00    47.50   0   225 0   ?   -7.16   ?   ?   5.51    ?
15.00   0.00    50.00   0   161 0   ?   -0.57   ?   ?   8.21    ?


# 45 mm Y traverse
# X  Y  Z  uc  vc  wc  uz  uθ  ur  uz'  uθ'  ur'
45.00   -50.00  0.00    772 0   536 -4.57   6.36    ?   10.25   13.92   ?
45.00   -45.00  0.00    206 0   318 13.40   7.23    ?   11.52   14.34   ?
45.00   -40.00  0.00    838 0   398 27.54   10.56   ?   8.81    15.30   ?
45.00   -37.50  0.00    717 0   222 32.24   -0.79   ?   9.18    11.17   ?
45.00   -35.00  0.00    1   0   4999    ?   0.17    ?   ?   0.87    ?
45.00   -32.50  0.00    891 0   72  38.40   -11.20  ?   10.51   9.17    ?
45.00   -30.00  0.00    886 0   767 37.62   7.08    ?   10.77   14.83   ?
45.00   -27.50  0.00    603 0   77  31.93   -0.85   ?   12.77   14.38   ?
45.00   -25.00  0.00    344 127 446 25.16   6.09    13.73   14.66   14.84   7.98
45.00   -22.50  0.00    759 435 73  19.14   -0.56   8.87    15.73   12.72   7.88
45.00   -20.00  0.00    428 295 515 4.02    10.52   4.57    15.29   14.61   7.87
45.00   -17.50  0.00    444 583 6   -2.77   ?   3.26    13.38   ?   6.61
45.00   -15.00  0.00    406 462 5   -11.45  ?   2.89    7.88    ?   5.29
45.00   -10.00  0.00    717 193 575 -13.35  9.28    2.21    5.27    13.90   4.27
45.00   -5.00   0.00    366 326 186 -13.93  8.68    3.04    4.28    12.65   3.58
45.00   0.00    0.00    886 192 149 -10.11  10.28   7.72    5.97    14.11   11.49
45.00   5.00    0.00    187 157 193 -7.42   -10.94  -2.51   8.04    12.24   4.06
45.00   10.00   0.00    253 69  287 4.16    -11.34  -1.23   9.46    12.72   3.34
45.00   15.00   0.00    354 166 274 14.31   -12.68  3.22    8.56    12.82   4.64
45.00   17.50   0.00    302 485 97  18.71   -13.77  3.98    9.21    14.58   4.83
45.00   20.00   0.00    205 37  5009    26.49   -0.91   7.89    9.40    3.67    6.18
45.00   22.50   0.00    316 940 31  29.46   -10.61  8.11    10.80   11.85   6.47
45.00   25.00   0.00    804 21  432 36.13   -7.78   10.14   10.10   11.77   8.18
45.00   27.50   0.00    238 0   13  37.50   -21.65  ?   9.20    14.29   ?
45.00   30.00   0.00    225 0   394 36.82   -8.22   ?   8.78    11.99   ?
45.00   32.50   0.00    154 0   5   31.57   ?   ?   8.62    ?   ?
45.00   35.00   0.00    243 0   519 26.33   -7.84   ?   8.72    12.16   ?
45.00   37.50   0.00    1   0   3   ?   ?   ?   ?   ?   ?
45.00   40.00   0.00    16  0   787 7.96    -4.24   ?   11.36   9.14    ?
45.00   45.00   0.00    132 0   841 2.32    -4.20   ?   8.15    8.70    ?
45.00   50.00   0.00    4764    0   236 0.26    -1.69   ?   5.02    6.59    ?


# 45 mm Z traverse
# X  Y  Z  uc  vc  wc  uz  uθ  ur  uz'  uθ'  ur'
45.00   0.00    -50.00  0   2663    0   ?   -1.11   ?   ?   6.03    ?
45.00   0.00    -45.00  0   109 0   ?   -3.72   ?   ?   6.90    ?
45.00   0.00    -40.00  0   210 0   ?   -11.51  ?   ?   9.05    ?
45.00   0.00    -37.50  0   231 0   ?   -12.97  ?   ?   8.82    ?
45.00   0.00    -35.00  0   357 0   ?   -13.51  ?   ?   8.81    ?
45.00   0.00    -32.50  0   544 0   ?   -13.57  ?   ?   8.70    ?
45.00   0.00    -30.00  0   393 0   ?   -12.95  ?   ?   9.24    ?
45.00   0.00    -27.50  116 508 0   37.04   -13.91  ?   8.88    7.84    ?
45.00   0.00    -25.00  291 367 0   36.78   -13.30  ?   9.91    7.51    ?
45.00   0.00    -22.50  430 630 69  29.78   -9.17   4.11    13.40   8.10    4.96
45.00   0.00    -20.00  432 1892    53  24.28   -1.86   8.50    13.50   6.51    6.86
45.00   0.00    -15.00  149 278 322 2.31    -3.81   5.44    15.78   7.83    6.44
45.00   0.00    -10.00  245 469 404 -10.28  -8.39   3.78    6.60    13.31   4.62
45.00   0.00    -5.00   128 255 381 -10.27  -7.18   2.79    6.63    8.62    3.51
45.00   0.00    0.00    213 646 351 -10.22  -6.65   12.66   6.55    13.14   13.81
45.00   0.00    5.00    127 340 923 -11.27  2.43    -1.19   5.75    4.62    3.71
45.00   0.00    10.00   150 914 516 -11.55  6.36    -0.31   7.15    12.95   4.29
45.00   0.00    15.00   153 343 298 -5.95   -0.67   -0.32   11.28   6.47    6.32
45.00   0.00    20.00   220 391 194 16.56   -1.48   1.97    15.95   8.75    7.04
45.00   0.00    22.50   140 157 150 22.79   -2.46   5.66    14.39   9.08    7.27
45.00   0.00    25.00   346 284 336 32.63   -6.08   9.29    12.72   9.33    8.61
45.00   0.00    27.50   173 322 270 36.55   -7.92   13.74   10.32   8.39    8.17
45.00   0.00    30.00   812 1097    277 39.73   -7.72   17.30   9.52    11.91   10.39
45.00   0.00    32.50   164 136 0   37.88   -7.50   ?   10.16   13.83   ?
45.00   0.00    35.00   147 710 0   33.82   -11.16  ?   8.44    8.12    ?
45.00   0.00    37.50   168 682 0   31.82   -2.13   ?   7.10    12.29   ?
45.00   0.00    40.00   23  747 0   25.04   -8.42   ?   8.97    9.36    ?
45.00   0.00    45.00   0   183 0   ?   -7.47   ?   ?   9.01    ?
45.00   0.00    50.00   0   261 0   ?   -5.33   ?   ?   12.34   ?
