# p = 1 atm, T = 500 K, U₀ = 75 m/s, non-reacting, no cone
# SI units (mm, m/s)
# Axial scan
# X  Y  Z  uc  vc  wc  uz  ur1  ur2  uz'  ur1'  ur2'
15.00   21.00   0.00    249 576 163 53.22   -41.06  6.37    16.29   18.17   18.85
15.00   20.00   0.00    277 173 100 55.44   -33.31  8.65    15.42   19.54   19.66
15.00   19.00   0.00    617 191 300 49.87   -22.40  10.23   19.11   17.75   18.55
15.00   18.00   0.00    878 170 218 46.10   -14.04  15.43   20.46   13.22   15.90
15.00   17.00   0.00    997 239 127 42.96   -10.66  16.55   21.67   9.99    13.13
15.00   16.00   0.00    1264    261 149 39.61   -7.30   11.40   22.58   8.46    11.74
15.00   15.00   0.00    2764    554 187 34.73   -6.40   9.28    22.43   9.16    9.72
15.00   14.00   0.00    3044    1027    188 27.84   -4.78   4.66    21.65   9.55    9.63
15.00   13.00   0.00    3810    969 221 21.92   -2.90   2.64    19.85   8.85    9.09
15.00   12.00   0.00    2259    887 143 17.06   -1.87   1.43    18.29   9.40    10.06
15.00   11.00   0.00    3710    1106    184 15.34   -1.97   -0.15   17.86   8.70    10.16
15.00   10.00   0.00    1073    789 127 11.26   -6.68   -0.47   17.43   14.49   10.48
15.00   9.00    0.00    3776    996 164 14.62   -4.93   0.54    17.85   11.69   10.30
15.00   8.00    0.00    1970    452 123 16.50   -7.33   0.71    18.00   11.72   10.33
15.00   7.00    0.00    2300    501 168 18.63   -12.45  1.50    18.16   15.53   10.44
15.00   6.00    0.00    2557    344 156 18.21   -8.60   0.64    17.60   12.49   9.85
15.00   5.00    0.00    2698    525 185 18.93   -11.48  1.51    17.91   13.53   9.33
15.00   4.00    0.00    3358    322 138 19.92   -11.83  1.22    18.08   13.73   9.94
15.00   3.00    0.00    1046    925 81  14.96   -5.17   1.45    17.91   7.07    9.78
15.00   2.00    0.00    2582    286 162 18.60   -9.29   1.37    18.34   9.71    9.94
15.00   1.00    0.00    2532    211 190 18.30   -6.20   1.76    17.86   7.43    10.39
15.00   0.00    0.00    2818    276 198 15.61   6.75    -1.66   16.93   7.08    9.44
15.00   -1.00   0.00    4333    435 232 15.05   8.25    0.46    16.96   9.03    8.77
15.00   -2.00   0.00    4072    715 213 12.38   7.85    0.22    16.78   8.20    8.51
15.00   -3.00   0.00    3742    449 253 10.58   9.58    -0.59   16.21   11.45   8.73
15.00   -4.00   0.00    2982    490 235 8.65    7.82    1.17    16.19   7.48    7.87
15.00   -5.00   0.00    2621    310 117 5.65    10.96   1.63    17.25   11.42   8.71
15.00   -6.00   0.00    2543    584 79  2.93    9.74    1.77    16.72   12.03   8.20
15.00   -7.00   0.00    3258    1018    85  1.81    6.19    2.22    17.19   7.21    7.82
15.00   -8.00   0.00    1872    415 50  1.10    7.25    2.96    16.50   6.19    7.47
15.00   -9.00   0.00    1907    581 222 0.95    8.73    3.86    17.34   11.21   7.56
15.00   -10.00  0.00    3385    1029    586 1.74    5.63    4.82    18.90   8.81    7.66
15.00   -11.00  0.00    3277    1106    433 4.03    6.29    5.60    20.21   8.93    8.21
15.00   -12.00  0.00    3438    982 580 9.62    5.02    6.52    21.56   9.83    7.81
15.00   -13.00  0.00    3789    779 432 13.48   3.94    8.90    23.65   11.24   8.28
15.00   -14.00  0.00    3939    560 501 21.27   5.98    10.22   24.70   10.83   8.01
15.00   -15.00  0.00    3778    843 379 26.36   4.79    13.27   24.84   13.23   9.10
15.00   -16.00  0.00    4018    649 333 31.37   3.86    16.48   25.39   12.60   11.70
15.00   -17.00  0.00    4261    471 268 33.95   2.90    22.22   25.34   16.87   13.57
15.00   -18.00  0.00    4100    575 325 38.46   -1.65   26.24   23.84   19.05   15.66
15.00   -19.00  0.00    3976    608 416 38.77   -5.03   30.97   24.10   20.25   18.07
15.00   -20.00  0.00    2147    492 206 42.27   -11.59  32.64   23.52   24.09   18.57
15.00   -21.00  0.00    2159    491 264 46.40   -16.52  29.15   22.70   23.64   19.23
15.00   -22.00  0.00    2207    492 218 52.05   -19.20  24.52   19.30   24.09   19.35
15.00   -23.00  0.00    3989    687 324 54.63   -16.40  23.82   15.40   23.27   19.14
15.00   -24.00  0.00    4232    533 235 54.17   -14.54  19.89   13.37   21.84   17.81
15.00   -25.00  0.00    4658    152 190 52.03   -13.29  16.40   13.41   21.02   17.32
15.00   -26.00  0.00    4857    0   143 48.62   -14.70  ?   14.50   21.14   ?
15.00   -27.00  0.00    4907    0   93  45.05   -14.98  ?   15.71   22.03   ?
15.00   -28.00  0.00    4936    0   64  41.25   -16.39  ?   16.01   21.91   ?
15.00   -29.00  0.00    4884    0   116 36.66   6.14    ?   16.36   24.80   ?
15.00   -30.00  0.00    4230    0   129 33.23   6.63    ?   15.81   22.05   ?
15.00   -31.00  0.00    4008    0   56  30.59   -18.14  ?   15.05   18.81   ?
15.00   -33.00  0.00    2909    0   49  26.71   -26.77  ?   13.96   13.12   ?
15.00   -35.00  0.00    1774    0   31  24.28   -22.38  ?   13.62   19.41   ?
15.00   -37.00  0.00    2646    0   81  21.95   -21.72  ?   13.21   16.42   ?
15.00   -39.00  0.00    1457    0   45  19.09   -21.81  ?   12.92   18.87   ?
15.00   -41.00  0.00    239 0   45  15.43   -20.85  ?   13.77   18.55   ?
15.00   -43.00  0.00    1594    0   86  11.25   -17.88  ?   13.79   16.49   ?
15.00   -45.00  0.00    1215    0   68  6.63    -18.94  ?   15.12   21.40   ?
15.00   -47.00  0.00    2270    0   124 2.12    -11.62  ?   16.53   19.32   ?
15.00   -49.00  0.00    994 0   102 -5.92   -6.60   ?   18.41   18.10   ?
15.00   -51.00  0.00    803 0   145 -17.48  -7.75   ?   21.71   18.26   ?


# 15 mm Z traverse
# X  Y  Z  uc  vc  wc  uz  uθ  ur  uz'  uθ'  ur'
15.00   0.00    -51.00  0   111 0   ?   -0.36   ?   ?   3.41    ?
15.00   0.00    -49.00  0   34  0   ?   -12.33  ?   ?   8.39    ?
15.00   0.00    -47.00  0   33  0   ?   -11.95  ?   ?   9.59    ?
15.00   0.00    -45.00  0   55  0   ?   -18.03  ?   ?   13.20   ?
15.00   0.00    -43.00  0   36  0   ?   -19.69  ?   ?   10.96   ?
15.00   0.00    -41.00  0   46  0   ?   -18.51  ?   ?   12.88   ?
15.00   0.00    -39.00  0   59  0   ?   -22.90  ?   ?   13.53   ?
15.00   0.00    -37.00  0   123 0   ?   -24.75  ?   ?   13.46   ?
15.00   0.00    -35.00  0   253 0   ?   -24.96  ?   ?   12.79   ?
15.00   0.00    -33.00  1533    270 0   12.53   -26.80  ?   9.50    12.58   ?
15.00   0.00    -31.00  1987    311 0   13.21   -28.12  ?   10.04   12.88   ?
15.00   0.00    -30.00  2504    356 0   14.33   -29.57  ?   11.33   14.20   ?
15.00   0.00    -29.00  2149    239 0   17.02   -29.92  ?   13.49   13.70   ?
15.00   0.00    -28.00  2138    218 0   20.55   -32.58  ?   16.15   14.04   ?
15.00   0.00    -27.00  1861    221 0   25.41   -33.52  ?   18.26   16.11   ?
15.00   0.00    -26.00  1127    216 0   30.99   -32.25  ?   19.30   15.09   ?
15.00   0.00    -25.00  1049    143 0   35.90   -33.71  ?   19.98   15.21   ?
15.00   0.00    -24.00  1164    147 35  42.75   -32.99  23.91   19.06   17.31   18.22
15.00   0.00    -23.00  971 156 96  45.22   -35.55  25.43   18.26   15.87   18.86
15.00   0.00    -22.00  306 66  35  46.92   -36.20  22.20   19.81   17.83   20.40
15.00   0.00    -21.00  879 216 110 45.30   -35.42  28.43   21.71   16.91   19.56
15.00   0.00    -20.00  1101    221 176 41.23   -35.35  27.93   23.89   18.05   18.39
15.00   0.00    -19.00  2363    379 307 37.57   -31.76  28.95   24.01   19.01   18.54
15.00   0.00    -18.00  3186    426 231 34.93   -27.06  24.02   24.06   19.87   16.94
15.00   0.00    -17.00  3945    452 278 31.57   -21.89  18.10   24.38   18.41   9.81
15.00   0.00    -16.00  3071    291 279 28.53   -15.24  16.37   24.59   15.45   9.57
15.00   0.00    -15.00  1790    217 189 24.94   -14.53  13.67   24.76   13.90   8.99
15.00   0.00    -14.00  1493    196 210 21.75   -10.75  11.76   24.93   14.36   8.25
15.00   0.00    -13.00  1668    381 249 14.85   -9.15   9.54    22.34   12.22   7.13
15.00   0.00    -12.00  1363    289 231 9.75    -6.75   8.33    21.52   10.57   6.21
15.00   0.00    -11.00  2082    561 533 4.13    -4.86   8.23    19.30   9.62    8.04
15.00   0.00    -10.00  321 125 108 1.76    -1.65   6.72    19.27   8.14    6.67
15.00   0.00    -9.00   583 234 268 -4.36   -1.55   7.72    16.17   8.21    6.92
15.00   0.00    -8.00   268 138 113 -4.34   -7.40   7.09    15.47   12.23   7.40
15.00   0.00    -7.00   103 60  77  -3.51   1.51    7.42    15.75   7.22    8.54
15.00   0.00    -6.00   459 146 97  -1.67   0.97    8.40    15.03   8.61    6.65
15.00   0.00    -5.00   284 69  140 2.38    -0.88   9.22    13.56   9.45    6.89
15.00   0.00    -4.00   2437    415 560 4.47    3.36    9.48    14.09   8.67    5.99
15.00   0.00    -3.00   762 151 200 5.60    2.42    8.44    14.23   8.21    6.97
15.00   0.00    -2.00   1700    345 661 9.89    3.19    7.53    14.56   9.17    6.70
15.00   0.00    -1.00   1337    226 149 12.61   2.05    7.87    15.48   8.50    8.06
15.00   0.00    0.00    1215    150 133 16.27   -1.07   5.85    16.23   9.06    8.97
15.00   0.00    1.00    1295    209 176 20.64   5.79    -4.33   17.19   12.01   7.48
15.00   0.00    2.00    3341    378 319 25.14   -0.99   -2.25   18.62   9.33    7.35
15.00   0.00    3.00    3042    353 328 29.02   1.52    -0.24   19.30   8.78    7.15
15.00   0.00    4.00    3135    351 344 33.51   3.64    1.91    19.20   9.96    6.64
15.00   0.00    5.00    1754    150 109 37.74   7.70    1.78    19.25   11.43   7.23
15.00   0.00    6.00    2209    256 87  40.48   3.01    4.88    18.55   8.97    6.40
15.00   0.00    7.00    4505    334 161 42.91   2.92    4.40    17.61   8.59    7.54
15.00   0.00    8.00    4664    232 104 45.15   5.36    4.76    16.73   11.29   8.91
15.00   0.00    9.00    2817    1099    197 45.84   2.79    5.85    16.79   8.24    8.39
15.00   0.00    10.00   4488    393 119 46.85   2.61    5.97    16.83   8.78    7.58
15.00   0.00    11.00   4375    576 49  46.60   2.06    7.13    16.80   7.98    12.30
15.00   0.00    12.00   4426    507 67  47.00   2.50    7.51    16.72   8.36    12.89
15.00   0.00    13.00   4456    507 37  44.94   -0.21   8.80    17.88   8.63    12.95
15.00   0.00    14.00   4416    533 51  45.66   -0.33   4.56    17.91   8.83    11.66
15.00   0.00    15.00   4463    472 65  43.98   -2.28   6.94    19.05   9.63    12.80
15.00   0.00    16.00   4521    431 48  45.91   -3.61   6.28    18.44   11.43   14.28
15.00   0.00    17.00   4558    354 88  45.98   -5.17   12.22   18.86   11.75   16.02
15.00   0.00    18.00   4108    339 65  47.31   -7.93   17.81   19.31   14.32   17.77
15.00   0.00    19.00   3643    176 106 48.66   -9.02   12.31   18.21   16.11   19.31
15.00   0.00    20.00   3585    228 126 50.93   -14.04  8.71    17.90   19.70   20.36
15.00   0.00    21.00   936 122 102 51.37   -27.90  8.00    17.79   21.70   18.55
15.00   0.00    22.00   1383    133 214 55.34   -32.43  9.61    16.82   21.05   21.19
15.00   0.00    23.00   1549    135 195 57.57   -41.65  10.12   14.09   17.73   22.13
15.00   0.00    24.00   3740    273 279 57.20   -36.13  3.66    12.54   22.62   20.28
15.00   0.00    25.00   4568    260 172 54.54   -28.13  3.69    12.30   21.05   20.17
15.00   0.00    26.00   4771    224 5   51.11   -27.27  ?   13.23   21.37   ?
15.00   0.00    27.00   4832    168 0   47.09   -19.86  ?   14.04   21.01   ?
15.00   0.00    28.00   4809    191 0   42.92   -23.19  ?   15.30   19.46   ?
15.00   0.00    29.00   3842    151 0   38.32   -24.42  ?   15.43   16.57   ?
15.00   0.00    30.00   2764    169 0   34.43   -22.02  ?   14.98   18.46   ?
15.00   0.00    31.00   1839    126 0   31.44   -21.96  ?   14.45   17.85   ?
15.00   0.00    33.00   1154    77  0   27.60   -20.59  ?   13.46   18.56   ?
15.00   0.00    35.00   448 44  0   27.28   -26.58  ?   12.77   17.69   ?
15.00   0.00    37.00   0   5000    0   ?   -0.37   ?   ?   0.72    ?
15.00   0.00    39.00   0   23  0   ?   -23.15  ?   ?   16.77   ?
15.00   0.00    41.00   0   25  0   ?   -24.79  ?   ?   16.50   ?
15.00   0.00    43.00   0   38  0   ?   -20.07  ?   ?   19.09   ?
15.00   0.00    45.00   0   13  0   ?   -23.16  ?   ?   15.89   ?
15.00   0.00    47.00   0   18  0   ?   -16.29  ?   ?   15.15   ?
15.00   0.00    49.00   0   18  0   ?   -8.43   ?   ?   19.33   ?
15.00   0.00    51.00   0   33  0   ?   -7.44   ?   ?   17.03   ?


# 35 mm Y traverse
# X  Y  Z  uc  vc  wc  uz  uθ  ur  uz'  uθ'  ur'
35.00   51.00   0.00    1888    0   303 -3.47   -19.09  ?   18.46   14.82   ?
35.00   49.00   0.00    1488    0   204 3.71    -16.58  ?   15.26   12.57   ?
35.00   47.00   0.00    2121    0   204 9.18    -16.00  ?   13.60   10.75   ?
35.00   45.00   0.00    2657    0   267 13.13   -14.01  ?   13.71   11.71   ?
35.00   43.00   0.00    2030    0   252 17.73   -11.23  ?   14.51   9.20    ?
35.00   41.00   0.00    1851    0   224 22.05   -13.32  ?   15.96   10.77   ?
35.00   39.00   0.00    3255    0   370 29.06   -14.62  ?   17.91   11.71   ?
35.00   37.00   0.00    3815    0   391 37.22   -15.11  ?   18.99   13.09   ?
35.00   35.00   0.00    4402    0   598 43.77   -17.46  ?   17.94   14.73   ?
35.00   33.00   0.00    3254    0   513 48.90   -18.90  ?   16.40   14.87   ?
35.00   31.00   0.00    2281    0   698 50.97   -20.65  ?   16.34   15.99   ?
35.00   30.00   0.00    1053    0   359 51.38   -21.81  ?   17.16   14.97   ?
35.00   29.00   0.00    603 0   281 50.94   -22.33  ?   18.13   14.73   ?
35.00   28.00   0.00    630 0   236 48.52   -21.36  ?   21.44   15.35   ?
35.00   27.00   0.00    367 0   450 38.55   -18.96  ?   23.97   14.92   ?
35.00   26.00   0.00    1465    0   323 40.27   -17.42  ?   23.93   14.14   ?
35.00   25.00   0.00    2225    0   267 37.78   -15.61  ?   24.53   11.10   ?
35.00   24.00   0.00    2225    101 154 34.82   -15.66  10.20   25.01   13.38   17.82
35.00   23.00   0.00    2020    169 157 32.16   -14.46  8.94    25.39   11.13   15.42
35.00   22.00   0.00    2585    124 99  29.51   -13.37  5.57    25.23   10.67   13.51
35.00   21.00   0.00    674 507 139 17.00   -13.80  4.58    23.50   12.63   12.56
35.00   20.00   0.00    2624    259 155 22.05   -11.63  3.32    24.38   8.24    13.39
35.00   19.00   0.00    2270    329 151 18.73   -11.96  1.37    23.30   10.02   11.88
35.00   18.00   0.00    2051    256 157 15.18   -12.84  0.63    23.00   8.44    11.52
35.00   17.00   0.00    3355    604 269 10.72   -12.94  -0.05   21.74   8.98    11.17
35.00   16.00   0.00    3487    626 173 9.13    -13.84  0.32    20.23   9.58    10.66
35.00   15.00   0.00    3762    878 360 7.62    -13.54  0.22    20.50   8.61    10.69
35.00   14.00   0.00    3729    1069    202 7.24    -13.10  1.43    20.80   8.92    10.68
35.00   13.00   0.00    3510    1123    367 6.30    -13.85  0.06    20.12   8.47    10.06
35.00   12.00   0.00    2610    2085    305 3.12    -14.54  0.84    20.31   11.31   9.76
35.00   11.00   0.00    939 1201    228 2.68    -13.38  0.24    19.28   9.78    9.07
35.00   10.00   0.00    3680    1052    268 5.53    -14.72  0.75    19.94   11.34   8.55
35.00   9.00    0.00    536 772 230 4.13    -12.99  -0.11   20.16   8.36    8.59
35.00   8.00    0.00    2773    1176    275 4.82    -13.49  -0.33   19.36   8.20    7.95
35.00   7.00    0.00    2416    1180    259 4.00    -13.86  -0.73   19.58   10.39   8.04
35.00   6.00    0.00    3093    1546    361 4.19    -12.61  -1.77   18.53   7.01    8.25
35.00   5.00    0.00    3361    1266    373 0.88    -12.96  -1.98   18.19   7.48    8.12
35.00   4.00    0.00    2597    1977    426 -1.60   -12.83  -2.28   17.94   6.86    7.63
35.00   3.00    0.00    2892    1781    327 -0.89   -13.16  -2.99   18.24   10.34   7.58
35.00   2.00    0.00    3131    1654    204 -1.47   -12.93  -3.34   17.46   9.15    7.48
35.00   1.00    0.00    2332    951 266 -2.68   -11.96  -4.35   16.91   7.98    7.52
35.00   0.00    0.00    1995    1173    387 -4.36   11.02   4.75    16.64   5.86    7.56
35.00   -1.00   0.00    2179    1389    514 -5.65   10.48   5.33    17.18   6.65    7.29
35.00   -2.00   0.00    1470    1337    369 -6.59   11.34   4.82    16.31   10.39   7.41
35.00   -3.00   0.00    1368    1503    441 -6.81   9.31    5.54    15.38   6.42    7.08
35.00   -4.00   0.00    1431    1558    475 -7.33   8.63    6.04    15.43   6.42    7.03
35.00   -5.00   0.00    903 850 330 -11.21  7.68    5.72    15.53   7.25    6.72
35.00   -6.00   0.00    838 805 192 -13.30  6.00    6.01    16.01   8.25    6.61
35.00   -7.00   0.00    1455    1439    190 -17.70  10.35   5.52    15.34   12.76   6.82
35.00   -8.00   0.00    714 779 104 -18.63  6.06    5.81    14.38   8.01    7.07
35.00   -9.00   0.00    599 800 117 -19.28  2.12    5.69    13.31   8.48    6.96
35.00   -10.00  0.00    538 445 65  -20.59  3.42    5.50    14.01   8.07    6.89
35.00   -11.00  0.00    894 201 139 -19.33  2.78    7.10    14.62   8.01    6.37
35.00   -12.00  0.00    799 761 128 -17.18  1.86    6.21    17.87   8.70    7.10
35.00   -13.00  0.00    771 528 114 -15.25  0.33    5.78    16.88   8.76    7.29
35.00   -14.00  0.00    827 494 130 -12.79  -0.12   5.87    19.29   8.54    6.85
35.00   -15.00  0.00    974 604 117 -9.64   0.50    5.73    20.45   7.41    7.77
35.00   -16.00  0.00    710 343 73  -7.02   1.34    6.07    22.58   12.71   7.16
35.00   -17.00  0.00    820 309 83  -3.30   1.76    5.78    23.66   9.53    7.67
35.00   -18.00  0.00    2765    1005    201 1.05    2.22    6.65    26.21   9.87    8.71
35.00   -19.00  0.00    3708    562 222 4.13    2.33    7.49    26.46   11.82   7.93
35.00   -20.00  0.00    2699    666 146 8.98    4.10    8.07    26.91   14.52   8.79
35.00   -21.00  0.00    3374    740 161 13.70   2.91    9.05    26.86   12.13   9.23
35.00   -22.00  0.00    3264    542 128 16.08   5.27    10.74   27.53   13.07   9.12
35.00   -23.00  0.00    3615    490 165 19.06   1.95    11.91   27.61   13.00   10.89
35.00   -24.00  0.00    3089    394 144 21.89   2.68    13.74   28.08   14.85   11.83
35.00   -25.00  0.00    3586    149 192 23.96   2.07    16.74   27.23   13.29   12.75
35.00   -26.00  0.00    4663    0   205 26.46   1.86    ?   26.90   13.56   ?
35.00   -27.00  0.00    4816    0   184 29.11   1.74    ?   26.94   13.50   ?
35.00   -28.00  0.00    4797    0   203 30.52   -0.70   ?   26.49   16.17   ?
35.00   -29.00  0.00    4693    0   307 32.70   0.53    ?   26.69   15.47   ?
35.00   -30.00  0.00    4763    0   237 35.94   0.91    ?   26.06   16.35   ?
35.00   -31.00  0.00    4694    0   306 36.62   0.81    ?   25.92   15.18   ?
35.00   -33.00  0.00    4812    0   188 39.17   0.00    ?   24.87   16.15   ?
35.00   -35.00  0.00    4836    0   164 42.27   -0.09   ?   23.28   15.58   ?
35.00   -37.00  0.00    4827    0   173 41.59   -0.46   ?   22.67   15.18   ?
35.00   -39.00  0.00    4746    0   254 39.45   -0.57   ?   22.61   15.37   ?
35.00   -41.00  0.00    229 0   243 35.75   -1.18   ?   21.30   13.92   ?
35.00   -43.00  0.00    4608    0   263 32.11   -1.76   ?   22.28   16.46   ?
35.00   -45.00  0.00    2239    0   125 26.55   -3.72   ?   22.33   16.46   ?
35.00   -47.00  0.00    1603    0   147 18.73   -3.20   ?   19.86   18.33   ?
35.00   -49.00  0.00    1036    0   134 6.22    -1.62   ?   16.69   15.53   ?
35.00   -51.00  0.00    1324    0   149 3.05    -0.74   ?   17.30   20.07   ?


# 35 mm Z traverse
# X  Y  Z  uc  vc  wc  uz  uθ  ur  uz'  uθ'  ur'
35.00   0.00    -51.00  0   298 0   ?   -8.28   ?   ?   10.18   ?
